Role,Years_of_Experience,Involvement_in_ProjectPhase,Frequency_of_Involvement,Communication_Effectiveness,Frequency_of_CollaborativeActivities,CommonCollaboration Patterns,WorkAtmosphere,RequirementClarity,RequirementClarificationEffectiveness,Challenges_in_DefiningRequirements,SkillGapIdentification Frequency,CompetencyImprovementEffectiveness,Challenges_in_CompetencyAlignment,Commitment_ Users,Commitment_Developers,Commitment_Managers,Commitment_Architects,Commitment_Technical Staff,Deadline FulfillmentFrequency,ChangeAdaptationEffectiveness,ChangeHandlingEfficiency,ProjectGoalsCommunicationClarity,Challenges_to_SharedVision,Ministry
Developer,1-3 years,Maintenance,Rarely,Neutral,Rarely,"Regular feedback sessions, Informal discussions",Agree,Always,Very Effective,"Lack of involvement from users, Misaligned goals, Resistance to change",Rarely,Strongly Disagree,"Limited resources, Lack of training, Time constraints, Resistance to change",3,3,5,4,2,Often,Very Well,Neutral,Neutral,"Misaligned goals, Inconsistent leadership",Ministry of Agriculture
Technical Staff,1-3 years,Development,Monthly,Very Ineffective,Daily,"Informal discussions, Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings",Disagree,Often,Very Effective,"Lack of involvement from users, Resistance to change, Resistance to change",Never,Strongly Agree,"Lack of training, Limited resources, Time constraints",2,5,4,3,3,Never,Very Well,Disagree,Very Clearly,"Misaligned goals, Lack of documentation",Ministry of Agriculture
User,3-5 years,Requirement Gathering,Daily,Very Effective,Monthly,"Clear documentation and resource sharing, Informal discussions, Regular feedback sessions",Strongly Agree,Always,Neutral,"Unclear requirements from stakeholders, Technical terms used leading to confusion",Often,Neutral,"Limited resources, Time constraints, Lack of training",4,5,2,4,4,Never,Neutral,Neutral,Very Unclear,Misaligned goals,Ministry of Education
Technical Staff,Less than 1 year,Maintenance,Rarely,Very Ineffective,Rarely,Regular feedback sessions,Neutral,Rarely,Neutral,"Unclear requirements from stakeholders, Technical terms used leading to confusion",Always,Disagree,Limited resources,3,3,5,5,3,Sometimes,Well,Disagree,Clearly,"Lack of documentation, Inconsistent leadership, Poor communication tools",Ministry of Information Technology
User,More than 5 years,Testing,Rarely,Very Effective,Daily,Clear documentation and resource sharing,Strongly Agree,Always,Very Ineffective,"Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion, Resistance to change",Often,Neutral,"Time constraints, Limited resources",1,5,5,2,5,Sometimes,Very Poorly,Disagree,Very Unclear,"Lack of documentation, Misaligned goals, Inconsistent leadership",Ministry of Information Technology
Developer,3-5 years,Development,Weekly,Very Effective,Weekly,"Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing, Regular feedback sessions",Disagree,Always,Effective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Lack of involvement from users, Resistance to change",Rarely,Strongly Agree,"Resistance to change, Time constraints",4,5,4,5,1,Never,Well,Strongly Agree,Unclear,"Lack of documentation, Inconsistent leadership",Ministry of Agriculture
Architect,More than 5 years,Development,Daily,Neutral,Weekly,"Cross-functional team meetings, Clear documentation and resource sharing",Disagree,Rarely,Ineffective,"Misaligned goals, Unclear requirements from stakeholders, Resistance to change",Often,Strongly Disagree,Resistance to change,3,2,5,5,5,Often,Very Well,Agree,Clearly,"Misaligned goals, Lack of documentation",Ministry of Information Technology
User,More than 5 years,Testing,Daily,Effective,Rarely,"Regular feedback sessions, Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing",Strongly Agree,Always,Very Ineffective,"Lack of involvement from users, Resistance to change",Always,Neutral,"Lack of training, Resistance to change",5,5,3,5,2,Never,Well,Neutral,Very Unclear,"Lack of documentation, Inconsistent leadership, Misaligned goals, Poor communication tools",Ministry of Agriculture
User,1-3 years,Development,Daily,Ineffective,Daily,"Regular feedback sessions, Cross-functional team meetings",Strongly Agree,Always,Effective,"Lack of involvement from users, Resistance to change",Often,Agree,Limited resources,4,5,2,5,2,Often,Poorly,Neutral,Very Clearly,Poor communication tools,Ministry of Education
User,3-5 years,Testing,Rarely,Ineffective,Weekly,Cross-functional team meetings,Agree,Rarely,Effective,"Misaligned goals, Resistance to change",Sometimes,Agree,Time constraints,2,4,2,5,1,Always,Poorly,Strongly Agree,Unclear,"Inconsistent leadership, Poor communication tools",Ministry of Information Technology
Technical Staff,Less than 1 year,Requirement Gathering,Weekly,Very Effective,Daily,Informal discussions,Neutral,Always,Effective,"Lack of involvement from users, Unclear requirements from stakeholders",Never,Agree,"Lack of training, Limited resources",5,3,4,3,5,Sometimes,Neutral,Neutral,Very Clearly,Poor communication tools,Ministry of Agriculture
Manager,More than 5 years,Testing,Rarely,Very Effective,Weekly,Cross-functional team meetings,Agree,Always,Ineffective,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users, Resistance to change",Sometimes,Disagree,"Limited resources, Lack of training, Time constraints, Resistance to change",4,4,4,4,5,Sometimes,Very Well,Strongly Agree,Very Unclear,"Inconsistent leadership, Poor communication tools, Lack of documentation, Misaligned goals",Ministry of Education
Developer,Less than 1 year,Testing,Monthly,Ineffective,Monthly,"Informal discussions, Clear documentation and resource sharing",Neutral,Always,Effective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals, Resistance to change",Sometimes,Strongly Agree,"Limited resources, Resistance to change, Lack of training",5,3,5,4,3,Never,Well,Agree,Very Unclear,Misaligned goals,Ministry of Education
User,More than 5 years,Design,Rarely,Ineffective,Daily,"Clear documentation and resource sharing, Regular feedback sessions, Informal discussions",Neutral,Always,Neutral,"Technical terms used leading to confusion, Misaligned goals, Lack of involvement from users, Resistance to change",Always,Disagree,"Resistance to change, Lack of training, Time constraints",2,4,4,2,5,Never,Neutral,Disagree,Very Clearly,"Poor communication tools, Inconsistent leadership",Ministry of Agriculture
Technical Staff,More than 5 years,Testing,Weekly,Ineffective,Monthly,"Regular feedback sessions, Clear documentation and resource sharing",Agree,Always,Neutral,"Misaligned goals, Unclear requirements from stakeholders, Lack of involvement from users",Sometimes,Strongly Agree,"Time constraints, Limited resources, Lack of training",3,2,3,5,2,Sometimes,Well,Neutral,Very Clearly,"Poor communication tools, Misaligned goals",Ministry of Information Technology
Developer,3-5 years,Testing,Daily,Very Effective,Daily,"Regular feedback sessions, Informal discussions",Disagree,Always,Ineffective,"Unclear requirements from stakeholders, Resistance to change",Sometimes,Disagree,"Time constraints, Resistance to change",3,4,5,4,1,Often,Poorly,Strongly Disagree,Neutral,"Inconsistent leadership, Lack of documentation, Poor communication tools, Misaligned goals",Ministry of Education
User,Less than 1 year,Maintenance,Monthly,Neutral,Monthly,"Clear documentation and resource sharing, Informal discussions",Agree,Always,Very Effective,"Technical terms used leading to confusion, Lack of involvement from users",Often,Strongly Agree,"Limited resources, Lack of training, Resistance to change",2,2,3,4,3,Sometimes,Well,Strongly Agree,Unclear,Misaligned goals,Ministry of Agriculture
Technical Staff,1-3 years,Design,Daily,Very Effective,Monthly,"Clear documentation and resource sharing, Informal discussions",Agree,Often,Effective,Unclear requirements from stakeholders,Rarely,Agree,"Time constraints, Limited resources, Resistance to change, Lack of training",1,3,5,2,4,Never,Well,Strongly Agree,Unclear,"Misaligned goals, Poor communication tools, Inconsistent leadership",Ministry of Agriculture
Developer,Less than 1 year,Development,Monthly,Very Effective,Monthly,"Cross-functional team meetings, Clear documentation and resource sharing, Regular feedback sessions, Informal discussions",Neutral,Sometimes,Very Ineffective,"Unclear requirements from stakeholders, Misaligned goals",Often,Neutral,"Resistance to change, Lack of training",1,2,2,3,2,Always,Poorly,Disagree,Clearly,Misaligned goals,Ministry of Agriculture
Manager,3-5 years,Design,Weekly,Effective,Weekly,"Cross-functional team meetings, Informal discussions, Regular feedback sessions",Strongly Agree,Always,Very Ineffective,"Unclear requirements from stakeholders, Misaligned goals, Lack of involvement from users, Resistance to change",Sometimes,Disagree,Time constraints,5,5,5,5,1,Often,Poorly,Strongly Disagree,Clearly,"Lack of documentation, Poor communication tools",Ministry of Agriculture
Technical Staff,Less than 1 year,Design,Rarely,Neutral,Weekly,"Clear documentation and resource sharing, Regular feedback sessions",Neutral,Always,Very Ineffective,"Lack of involvement from users, Unclear requirements from stakeholders, Technical terms used leading to confusion, Misaligned goals",Rarely,Strongly Disagree,Lack of training,2,5,3,2,4,Never,Neutral,Strongly Agree,Very Unclear,"Misaligned goals, Lack of documentation, Inconsistent leadership",Ministry of Agriculture
Architect,3-5 years,Requirement Gathering,Daily,Very Ineffective,Weekly,"Cross-functional team meetings, Clear documentation and resource sharing",Neutral,Always,Very Effective,"Misaligned goals, Lack of involvement from users, Technical terms used leading to confusion, Resistance to change",Sometimes,Neutral,"Limited resources, Lack of training, Time constraints, Resistance to change",3,2,5,2,2,Sometimes,Very Poorly,Strongly Disagree,Very Unclear,"Misaligned goals, Poor communication tools",Ministry of Information Technology
Developer,1-3 years,Design,Monthly,Neutral,Daily,"Clear documentation and resource sharing, Regular feedback sessions",Disagree,Always,Ineffective,Misaligned goals,Sometimes,Disagree,"Limited resources, Resistance to change",1,4,5,5,2,Often,Neutral,Strongly Disagree,Very Unclear,"Misaligned goals, Poor communication tools",Ministry of Information Technology
Architect,Less than 1 year,Development,Weekly,Very Ineffective,Weekly,Clear documentation and resource sharing,Neutral,Always,Very Effective,Lack of involvement from users,Never,Neutral,"Resistance to change, Time constraints, Limited resources",5,4,2,3,3,Often,Poorly,Disagree,Clearly,Inconsistent leadership,Ministry of Education
Developer,3-5 years,Requirement Gathering,Weekly,Ineffective,Daily,"Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings, Informal discussions",Strongly Disagree,Rarely,Neutral,Technical terms used leading to confusion,Never,Strongly Agree,"Resistance to change, Lack of training, Limited resources, Time constraints",4,2,5,5,3,Often,Well,Strongly Agree,Very Clearly,Poor communication tools,Ministry of Information Technology
User,Less than 1 year,Development,Monthly,Neutral,Monthly,"Informal discussions, Regular feedback sessions",Strongly Disagree,Sometimes,Neutral,"Misaligned goals, Lack of involvement from users, Technical terms used leading to confusion, Unclear requirements from stakeholders",Never,Disagree,"Lack of training, Limited resources, Resistance to change",5,4,2,5,4,Rarely,Neutral,Neutral,Neutral,"Inconsistent leadership, Poor communication tools, Misaligned goals",Ministry of Education
Manager,3-5 years,Development,Weekly,Very Effective,Rarely,"Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings, Informal discussions",Strongly Agree,Rarely,Very Effective,"Lack of involvement from users, Unclear requirements from stakeholders, Technical terms used leading to confusion",Never,Agree,"Lack of training, Resistance to change",3,5,2,4,4,Never,Well,Agree,Very Unclear,Inconsistent leadership,Ministry of Information Technology
Developer,More than 5 years,Requirement Gathering,Monthly,Effective,Weekly,Clear documentation and resource sharing,Strongly Disagree,Always,Very Effective,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users, Misaligned goals",Sometimes,Strongly Agree,"Limited resources, Resistance to change, Time constraints",2,5,5,5,1,Never,Well,Strongly Agree,Clearly,"Poor communication tools, Misaligned goals, Inconsistent leadership, Lack of documentation",Ministry of Information Technology
Architect,1-3 years,Testing,Weekly,Effective,Weekly,Regular feedback sessions,Agree,Often,Very Effective,"Lack of involvement from users, Technical terms used leading to confusion",Often,Neutral,"Limited resources, Resistance to change, Lack of training, Time constraints",5,3,5,5,1,Never,Very Poorly,Agree,Very Unclear,Poor communication tools,Ministry of Agriculture
User,Less than 1 year,Requirement Gathering,Monthly,Very Effective,Daily,"Cross-functional team meetings, Clear documentation and resource sharing, Regular feedback sessions",Strongly Agree,Always,Very Effective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Resistance to change",Often,Strongly Agree,"Limited resources, Time constraints, Resistance to change, Lack of training",5,2,3,2,2,Rarely,Poorly,Strongly Agree,Very Clearly,"Inconsistent leadership, Misaligned goals",Ministry of Agriculture
Developer,Less than 1 year,Design,Weekly,Very Ineffective,Monthly,"Regular feedback sessions, Clear documentation and resource sharing",Neutral,Always,Ineffective,"Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion, Resistance to change",Sometimes,Neutral,"Time constraints, Limited resources",2,3,5,3,5,Always,Very Well,Strongly Disagree,Very Clearly,"Inconsistent leadership, Lack of documentation, Poor communication tools",Ministry of Information Technology
Manager,3-5 years,Maintenance,Monthly,Effective,Monthly,"Clear documentation and resource sharing, Regular feedback sessions, Informal discussions",Disagree,Always,Effective,"Unclear requirements from stakeholders, Misaligned goals, Lack of involvement from users, Resistance to change",Often,Agree,"Resistance to change, Lack of training, Limited resources",3,5,3,4,3,Sometimes,Neutral,Neutral,Clearly,"Poor communication tools, Misaligned goals, Inconsistent leadership",Ministry of Agriculture
Developer,Less than 1 year,Maintenance,Weekly,Neutral,Weekly,"Clear documentation and resource sharing, Cross-functional team meetings, Informal discussions",Neutral,Always,Very Effective,Lack of involvement from users,Rarely,Strongly Agree,Lack of training,5,2,1,4,4,Often,Very Poorly,Disagree,Very Clearly,"Lack of documentation, Misaligned goals, Poor communication tools",Ministry of Information Technology
User,3-5 years,Testing,Monthly,Very Ineffective,Daily,"Regular feedback sessions, Informal discussions, Cross-functional team meetings, Clear documentation and resource sharing",Strongly Disagree,Sometimes,Neutral,"Technical terms used leading to confusion, Misaligned goals, Unclear requirements from stakeholders",Rarely,Disagree,"Limited resources, Resistance to change, Time constraints",3,5,4,3,4,Sometimes,Very Poorly,Strongly Agree,Unclear,Misaligned goals,Ministry of Agriculture
Technical Staff,Less than 1 year,Maintenance,Weekly,Very Effective,Rarely,"Clear documentation and resource sharing, Cross-functional team meetings, Regular feedback sessions",Agree,Rarely,Ineffective,"Lack of involvement from users, Misaligned goals, Resistance to change",Always,Agree,"Resistance to change, Time constraints, Limited resources",2,5,3,2,2,Rarely,Neutral,Strongly Agree,Unclear,"Inconsistent leadership, Misaligned goals",Ministry of Education
Developer,More than 5 years,Development,Rarely,Effective,Daily,"Regular feedback sessions, Informal discussions",Neutral,Sometimes,Very Effective,"Lack of involvement from users, Resistance to change",Rarely,Disagree,Time constraints,1,3,2,3,4,Never,Very Poorly,Strongly Agree,Unclear,"Inconsistent leadership, Misaligned goals, Poor communication tools",Ministry of Agriculture
Architect,3-5 years,Testing,Rarely,Neutral,Daily,"Clear documentation and resource sharing, Regular feedback sessions",Strongly Agree,Always,Neutral,"Lack of involvement from users, Technical terms used leading to confusion, Misaligned goals, Unclear requirements from stakeholders",Rarely,Strongly Agree,"Time constraints, Lack of training",2,3,1,3,3,Never,Poorly,Neutral,Very Clearly,"Inconsistent leadership, Misaligned goals, Lack of documentation",Ministry of Agriculture
User,3-5 years,Maintenance,Monthly,Very Ineffective,Rarely,"Informal discussions, Regular feedback sessions, Clear documentation and resource sharing",Strongly Disagree,Rarely,Very Ineffective,"Misaligned goals, Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users",Sometimes,Strongly Agree,"Time constraints, Limited resources",5,3,4,2,4,Never,Very Poorly,Strongly Agree,Unclear,"Misaligned goals, Poor communication tools, Inconsistent leadership, Lack of documentation",Ministry of Information Technology
Developer,More than 5 years,Testing,Rarely,Very Effective,Monthly,"Clear documentation and resource sharing, Informal discussions, Cross-functional team meetings",Agree,Always,Effective,Misaligned goals,Sometimes,Neutral,Lack of training,2,5,5,4,2,Never,Well,Strongly Agree,Unclear,Lack of documentation,Ministry of Information Technology
Architect,3-5 years,Design,Rarely,Ineffective,Monthly,"Cross-functional team meetings, Informal discussions",Disagree,Always,Effective,"Lack of involvement from users, Technical terms used leading to confusion, Unclear requirements from stakeholders",Rarely,Neutral,"Time constraints, Resistance to change, Limited resources",4,5,2,5,4,Sometimes,Very Well,Neutral,Neutral,Lack of documentation,Ministry of Information Technology
Technical Staff,3-5 years,Maintenance,Rarely,Ineffective,Rarely,"Regular feedback sessions, Clear documentation and resource sharing, Informal discussions, Cross-functional team meetings",Neutral,Sometimes,Neutral,"Unclear requirements from stakeholders, Misaligned goals",Always,Strongly Agree,"Resistance to change, Lack of training",5,1,3,3,3,Never,Neutral,Neutral,Clearly,"Inconsistent leadership, Poor communication tools, Lack of documentation, Misaligned goals",Ministry of Education
Technical Staff,More than 5 years,Development,Monthly,Effective,Monthly,"Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing, Informal discussions",Neutral,Often,Very Effective,"Misaligned goals, Lack of involvement from users, Resistance to change",Always,Strongly Agree,"Time constraints, Resistance to change, Lack of training, Limited resources",1,4,4,4,2,Never,Very Well,Agree,Unclear,"Poor communication tools, Misaligned goals",Ministry of Information Technology
User,Less than 1 year,Testing,Monthly,Very Effective,Weekly,"Clear documentation and resource sharing, Regular feedback sessions",Agree,Always,Very Effective,"Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders, Resistance to change",Sometimes,Strongly Agree,"Resistance to change, Lack of training, Time constraints, Limited resources",4,4,4,5,2,Always,Poorly,Strongly Agree,Clearly,"Misaligned goals, Poor communication tools, Lack of documentation, Inconsistent leadership",Ministry of Information Technology
Architect,Less than 1 year,Maintenance,Daily,Very Ineffective,Daily,"Cross-functional team meetings, Informal discussions",Strongly Disagree,Always,Ineffective,"Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals",Sometimes,Agree,"Limited resources, Time constraints, Lack of training, Resistance to change",5,5,5,3,2,Never,Very Well,Disagree,Clearly,"Poor communication tools, Misaligned goals, Lack of documentation, Inconsistent leadership",Ministry of Information Technology
Architect,3-5 years,Design,Daily,Very Ineffective,Weekly,"Informal discussions, Clear documentation and resource sharing, Cross-functional team meetings",Strongly Agree,Always,Ineffective,"Technical terms used leading to confusion, Resistance to change",Often,Strongly Agree,"Resistance to change, Limited resources, Time constraints, Lack of training",5,4,2,3,5,Rarely,Well,Strongly Agree,Neutral,"Poor communication tools, Misaligned goals",Ministry of Information Technology
Architect,1-3 years,Requirement Gathering,Weekly,Very Ineffective,Monthly,Clear documentation and resource sharing,Strongly Disagree,Always,Effective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals",Often,Strongly Agree,"Limited resources, Time constraints, Resistance to change",3,5,2,5,4,Never,Very Poorly,Disagree,Neutral,Inconsistent leadership,Ministry of Information Technology
Developer,More than 5 years,Development,Monthly,Neutral,Monthly,"Regular feedback sessions, Clear documentation and resource sharing",Strongly Agree,Always,Ineffective,Misaligned goals,Sometimes,Strongly Agree,"Limited resources, Time constraints",3,3,4,4,2,Never,Well,Agree,Neutral,"Lack of documentation, Poor communication tools",Ministry of Agriculture
Technical Staff,3-5 years,Maintenance,Rarely,Ineffective,Daily,"Cross-functional team meetings, Informal discussions",Disagree,Always,Ineffective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Misaligned goals, Resistance to change",Always,Disagree,Time constraints,4,2,2,4,4,Always,Neutral,Strongly Agree,Neutral,Lack of documentation,Ministry of Agriculture
Developer,More than 5 years,Development,Rarely,Neutral,Weekly,"Informal discussions, Cross-functional team meetings, Clear documentation and resource sharing",Strongly Disagree,Sometimes,Effective,Misaligned goals,Always,Strongly Disagree,"Time constraints, Limited resources, Lack of training, Resistance to change",3,2,3,5,5,Always,Poorly,Neutral,Very Clearly,"Poor communication tools, Lack of documentation, Misaligned goals, Inconsistent leadership",Ministry of Information Technology
Developer,1-3 years,Maintenance,Monthly,Effective,Weekly,"Clear documentation and resource sharing, Regular feedback sessions, Informal discussions, Cross-functional team meetings",Neutral,Sometimes,Very Effective,"Lack of involvement from users, Technical terms used leading to confusion, Misaligned goals, Unclear requirements from stakeholders, Resistance to change",Sometimes,Strongly Agree,Time constraints,2,5,3,4,4,Often,Neutral,Disagree,Unclear,Misaligned goals,Ministry of Information Technology
User,1-3 years,Requirement Gathering,Rarely,Very Effective,Daily,"Informal discussions, Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing",Agree,Always,Effective,"Misaligned goals, Technical terms used leading to confusion, Lack of involvement from users, Unclear requirements from stakeholders, Resistance to change",Always,Agree,"Lack of training, Time constraints",5,5,5,5,5,Often,Poorly,Disagree,Clearly,"Poor communication tools, Inconsistent leadership, Misaligned goals",Ministry of Information Technology
User,More than 5 years,Maintenance,Rarely,Neutral,Daily,"Informal discussions, Clear documentation and resource sharing, Regular feedback sessions",Neutral,Always,Effective,"Unclear requirements from stakeholders, Lack of involvement from users",Always,Strongly Agree,"Lack of training, Time constraints",2,1,5,2,5,Rarely,Well,Disagree,Very Clearly,"Inconsistent leadership, Poor communication tools",Ministry of Agriculture
Technical Staff,Less than 1 year,Testing,Daily,Ineffective,Daily,"Cross-functional team meetings, Informal discussions",Strongly Disagree,Sometimes,Very Effective,Unclear requirements from stakeholders,Often,Agree,"Lack of training, Limited resources, Time constraints",4,3,2,5,5,Rarely,Very Well,Strongly Disagree,Very Unclear,"Poor communication tools, Inconsistent leadership, Lack of documentation, Misaligned goals",Ministry of Agriculture
Manager,More than 5 years,Maintenance,Monthly,Very Ineffective,Daily,"Informal discussions, Cross-functional team meetings, Clear documentation and resource sharing, Regular feedback sessions",Strongly Disagree,Sometimes,Neutral,"Lack of involvement from users, Resistance to change",Never,Disagree,"Resistance to change, Limited resources, Lack of training, Time constraints",1,5,5,5,5,Sometimes,Well,Agree,Clearly,"Misaligned goals, Lack of documentation, Poor communication tools",Ministry of Information Technology
User,1-3 years,Maintenance,Monthly,Ineffective,Monthly,Clear documentation and resource sharing,Agree,Sometimes,Effective,"Lack of involvement from users, Unclear requirements from stakeholders, Technical terms used leading to confusion",Rarely,Disagree,Time constraints,5,5,5,4,3,Sometimes,Neutral,Strongly Agree,Very Unclear,"Lack of documentation, Poor communication tools",Ministry of Education
User,Less than 1 year,Maintenance,Daily,Effective,Rarely,"Informal discussions, Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing",Strongly Disagree,Sometimes,Neutral,"Technical terms used leading to confusion, Lack of involvement from users, Unclear requirements from stakeholders, Misaligned goals",Often,Disagree,Time constraints,2,5,3,5,3,Sometimes,Poorly,Disagree,Very Clearly,Poor communication tools,Ministry of Information Technology
Technical Staff,3-5 years,Requirement Gathering,Weekly,Effective,Weekly,"Clear documentation and resource sharing, Regular feedback sessions, Informal discussions",Agree,Always,Very Ineffective,"Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion",Always,Neutral,"Lack of training, Limited resources, Resistance to change",5,3,3,5,5,Never,Very Poorly,Strongly Disagree,Clearly,"Misaligned goals, Lack of documentation, Poor communication tools",Ministry of Agriculture
Architect,3-5 years,Design,Rarely,Very Effective,Weekly,"Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing",Disagree,Always,Ineffective,"Unclear requirements from stakeholders, Misaligned goals",Sometimes,Disagree,"Lack of training, Time constraints, Limited resources, Resistance to change",2,4,5,5,5,Sometimes,Very Poorly,Agree,Very Clearly,"Lack of documentation, Poor communication tools",Ministry of Education
Technical Staff,1-3 years,Testing,Monthly,Ineffective,Rarely,"Regular feedback sessions, Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing",Agree,Often,Effective,"Misaligned goals, Lack of involvement from users, Technical terms used leading to confusion",Always,Neutral,"Lack of training, Limited resources",2,2,5,4,1,Often,Neutral,Strongly Disagree,Neutral,"Poor communication tools, Misaligned goals",Ministry of Education
Manager,Less than 1 year,Design,Monthly,Very Effective,Weekly,"Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing, Informal discussions",Disagree,Always,Ineffective,"Misaligned goals, Lack of involvement from users, Technical terms used leading to confusion, Unclear requirements from stakeholders",Sometimes,Disagree,Lack of training,5,5,4,5,4,Sometimes,Neutral,Disagree,Very Unclear,"Lack of documentation, Poor communication tools, Inconsistent leadership, Misaligned goals",Ministry of Agriculture
User,3-5 years,Development,Rarely,Effective,Monthly,"Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings",Neutral,Always,Effective,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Misaligned goals, Lack of involvement from users, Resistance to change",Always,Strongly Agree,Lack of training,3,5,4,5,2,Often,Well,Strongly Agree,Very Clearly,"Inconsistent leadership, Misaligned goals",Ministry of Information Technology
Developer,Less than 1 year,Requirement Gathering,Daily,Neutral,Rarely,"Cross-functional team meetings, Informal discussions, Regular feedback sessions, Clear documentation and resource sharing",Strongly Agree,Always,Neutral,"Misaligned goals, Lack of involvement from users",Never,Neutral,"Limited resources, Lack of training",5,3,3,4,5,Often,Well,Neutral,Neutral,"Inconsistent leadership, Poor communication tools",Ministry of Information Technology
Manager,Less than 1 year,Requirement Gathering,Weekly,Very Effective,Weekly,"Informal discussions, Regular feedback sessions",Disagree,Always,Effective,"Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders",Often,Strongly Agree,"Time constraints, Lack of training",5,5,3,5,1,Never,Neutral,Strongly Agree,Clearly,"Misaligned goals, Poor communication tools",Ministry of Information Technology
Architect,More than 5 years,Development,Rarely,Very Effective,Weekly,"Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing",Agree,Sometimes,Very Ineffective,"Lack of involvement from users, Unclear requirements from stakeholders, Technical terms used leading to confusion, Misaligned goals",Sometimes,Neutral,"Lack of training, Time constraints, Resistance to change",1,4,5,2,2,Never,Well,Strongly Agree,Very Unclear,"Lack of documentation, Poor communication tools, Misaligned goals",Ministry of Education
User,3-5 years,Maintenance,Monthly,Effective,Rarely,"Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing, Informal discussions",Strongly Disagree,Sometimes,Ineffective,"Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion",Never,Strongly Disagree,"Time constraints, Resistance to change, Lack of training",1,2,2,2,1,Never,Neutral,Strongly Agree,Very Clearly,"Poor communication tools, Misaligned goals",Ministry of Education
Developer,Less than 1 year,Development,Rarely,Very Effective,Monthly,Clear documentation and resource sharing,Strongly Agree,Sometimes,Effective,"Misaligned goals, Unclear requirements from stakeholders, Resistance to change",Rarely,Neutral,"Resistance to change, Time constraints, Limited resources",2,5,1,2,2,Often,Very Poorly,Neutral,Clearly,"Poor communication tools, Misaligned goals, Lack of documentation, Inconsistent leadership",Ministry of Information Technology
User,Less than 1 year,Testing,Rarely,Very Effective,Monthly,"Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings, Informal discussions",Agree,Always,Effective,Lack of involvement from users,Rarely,Strongly Agree,"Lack of training, Resistance to change, Time constraints, Limited resources",1,3,3,2,4,Always,Very Poorly,Strongly Agree,Very Unclear,"Lack of documentation, Misaligned goals",Ministry of Agriculture
Developer,Less than 1 year,Testing,Monthly,Very Effective,Weekly,"Informal discussions, Cross-functional team meetings",Neutral,Sometimes,Ineffective,"Misaligned goals, Resistance to change",Rarely,Strongly Disagree,"Lack of training, Time constraints, Limited resources",2,5,5,4,5,Rarely,Poorly,Neutral,Very Unclear,"Lack of documentation, Poor communication tools, Inconsistent leadership",Ministry of Information Technology
User,More than 5 years,Maintenance,Monthly,Ineffective,Monthly,"Clear documentation and resource sharing, Cross-functional team meetings, Regular feedback sessions",Neutral,Sometimes,Effective,Lack of involvement from users,Always,Agree,"Lack of training, Resistance to change, Limited resources",1,3,2,2,4,Rarely,Poorly,Neutral,Very Unclear,Inconsistent leadership,Ministry of Agriculture
Architect,More than 5 years,Design,Weekly,Neutral,Rarely,"Regular feedback sessions, Cross-functional team meetings, Clear documentation and resource sharing",Neutral,Always,Effective,"Unclear requirements from stakeholders, Resistance to change",Always,Neutral,"Lack of training, Resistance to change",1,5,5,4,1,Never,Very Poorly,Agree,Unclear,"Lack of documentation, Poor communication tools, Misaligned goals",Ministry of Information Technology
